Number of elements 23380
     0 : -1.3258440e-05 -4.6353400e-05 -1.7265440e-05
     1 : -2.6147460e-03 -1.5485630e-04 -3.6147760e-03
     2 : -8.8501670e-69 -1.9508980e-68  6.2850340e-69
     3 : -1.0685480e-38  2.0929680e-38 -1.2931100e-38
     4 : -1.9958180e-68  1.8869560e-68 -4.5898280e-69
     5 : -1.8069590e-38  4.1723570e-38  3.7010830e-38
     6 :  8.4082800e-02  1.0333040e-01  7.8294460e-02
     7 :  3.3189390e-06  3.4833900e-07  2.4068310e-06
     8 :  1.0284070e-05 -1.1668660e-05 -6.3019370e-06
     9 : -2.3058230e-09 -7.5896860e-10  4.1172050e-09
    10 : -2.1887220e-03  1.1737890e-02  1.4163690e-03
    11 :  3.2419260e-04 -1.7726030e-04  3.4009780e-04
    12 :  8.4683340e-02  7.5538940e-02  2.9012240e-02
    13 :  3.8126880e-02  4.6580750e-03  1.6351930e-02
    14 :  5.1017990e-03  6.9789340e-03  2.6927530e-04
    15 : -1.6259310e-07  4.3520830e-07  2.5707030e-07
    16 : -8.4227300e-03 -5.5826020e-03 -9.5420090e-03
    17 : -1.0566320e-07  3.8938240e-08 -8.0926900e-08
    18 :  5.6547980e-22  1.5735840e-23  5.1298880e-22
    19 : -2.5539580e-05 -1.9585010e-05 -3.7109490e-05
    20 : -5.0171120e-03 -2.1983460e-03 -4.5936170e-03
    21 :  9.6590060e-02  8.0262870e-02  1.0179610e-01
    22 :  2.3462930e-60  3.1651160e-60 -9.7535940e-60
    23 : -1.2529710e-02 -1.6458360e-02 -2.3278070e-02
    24 : -2.3081510e-46  9.7023540e-47 -3.4028030e-46
    25 : -3.4027140e-03 -1.3897320e-02 -1.4937220e-02
    26 :  1.5270600e-02  9.1961220e-03  1.1338730e-02
    27 :  1.9755440e-02 -3.2175900e-02  8.7901880e-03
    28 : -4.0938660e-02 -5.9239050e-02 -5.8546560e-02
    29 : -4.8980050e-03 -4.4629460e-03 -3.3329480e-03
    30 : -2.4219170e-02 -2.2346900e-02 -2.5379380e-02
    31 : -4.8645420e-41  1.4994960e-40  1.3036650e-40
    32 : -2.2482450e-04  5.8332600e-04  2.0079740e-04
    33 :  1.0885310e-02  8.0395520e-03  4.7929230e-03
    34 :  8.6139670e-05  5.1213020e-05  1.6708240e-04
    35 : -1.1821520e-02 -9.3088680e-03 -1.0488520e-02
    36 :  2.5241210e-04  1.5126280e-04  1.9712210e-04
    37 :  4.1776800e-02  2.9654650e-02  4.6517360e-02
    38 :  1.6805550e-03 -1.1749740e-05  1.6295140e-04
    39 :  1.8578520e-02  1.7430120e-02  2.0424730e-02
    40 :  2.5035780e-57  4.9581080e-58 -3.3082900e-57
    41 : -4.3177300e-02 -4.1693430e-02 -3.8504170e-02
    42 :  3.7589390e-12 -3.9367230e-11 -1.2579380e-11
    43 : -1.2541950e-03 -2.7191040e-03 -2.3887640e-03
    44 :  4.5871350e-03 -7.5589920e-04 -1.0796470e-02
    45 : -3.0361910e-02 -7.4083270e-03 -2.7218950e-02
    46 :  2.8517970e-02  3.5281880e-02  4.8142940e-02
    47 : -1.7526880e-03 -2.3718440e-03 -8.6800750e-04
    48 : -3.9511190e-03 -9.6258070e-03  5.5588270e-03
    49 : -2.4510520e-02 -2.4148380e-02 -2.3713020e-02
    50 : -6.4039690e-03 -2.8797770e-03 -5.5969440e-03
    51 :  3.0001070e-05 -2.2525270e-05  3.5900120e-05
    52 :  2.4095900e-02  1.1044740e-03  6.5590090e-03
    53 :  6.1460180e-44 -3.5582980e-43  4.3093580e-43
    54 :  2.6776180e-09  3.5778650e-09  1.6474920e-09
    55 :  1.6170450e-02  1.4305110e-02  1.5306900e-02
    56 :  8.8305240e-09 -7.7877120e-09  1.3350890e-08
    57 : -1.2251630e-02 -1.1094400e-02 -1.1410540e-02
    58 : -1.3193760e-02 -1.7143100e-02 -1.4364430e-02
    59 : -8.8347220e-11 -7.4037860e-11  3.4923800e-11
    60 : -1.2310730e-06  5.8292330e-07  2.2612540e-06
    61 :  9.2854390e-09 -2.4026930e-09  7.8093720e-09
    62 :  8.2719000e-04  7.6721090e-04  1.6075930e-03
    63 : -3.8192000e-02 -2.9210920e-02 -1.8945800e-02
    64 : -2.1315370e-02 -3.0804720e-02 -2.9306420e-02
    65 : -1.6042780e-37  4.7330950e-37 -1.5176400e-37
    66 :  3.1461240e-09 -9.1218130e-10 -1.5219910e-09
    67 :  2.0666500e-01  1.6201150e-01  1.8946700e-01
    68 : -7.1555950e-03 -1.0353370e-03  5.5658770e-04
    69 : -1.1235740e-02 -1.1316710e-02  9.8300600e-04
    70 : -8.0304810e-03 -9.0252650e-03 -9.6156810e-03
    71 : -1.7104270e-02 -1.9191480e-02 -2.0331100e-02
    72 :  5.5152780e-18 -1.3043450e-17 -2.1366890e-17
    73 :  3.7171320e-16  4.2895910e-16 -2.3964460e-16
    74 :  2.6935370e-10 -7.7946970e-11 -1.0158990e-10
    75 : -5.4414070e-03 -8.6823220e-03 -9.6519930e-03
    76 : -2.5425260e-02 -2.3706080e-02 -2.4644160e-02
    77 : -1.7060900e-05 -5.8707790e-06  3.4624470e-06
    78 :  4.4387700e-07  2.5719590e-07 -2.1997450e-07
    79 :  8.3059440e-03  3.9202200e-02  4.2314640e-02
    80 : -1.8538770e-38 -1.4511240e-38  4.0877740e-38
    81 :  1.2059630e-02  1.0047330e-02  1.0122910e-02
    82 :  2.5663140e-08  1.2498490e-08 -4.6480930e-08
    83 :  7.2590630e-02  4.1476870e-02  4.6218990e-02
    84 : -1.8095370e-09  1.7884830e-08  1.1396570e-09
    85 : -3.5094220e-02 -2.3887410e-02 -3.9903590e-02
    86 : -4.3011100e-03 -5.3401740e-03 -4.1194600e-03
    87 :  6.2253830e-14  3.0202380e-13  1.1337220e-14
    88 : -5.5674140e-21  4.4339190e-21 -4.0255500e-21
    89 : -2.1890280e-02 -2.4386190e-02 -2.0674120e-02
    90 : -1.3143610e-03 -1.5111370e-03 -4.1878910e-03
    91 :  3.5526770e-02  3.5493950e-02  3.6005410e-02
    92 : -3.1160280e-03 -5.0531250e-03 -5.0382800e-03
    93 :  1.2352410e-05  6.4326000e-05  3.4731840e-05
    94 : -2.7664400e-02 -2.3480050e-02 -2.7826510e-02
    95 : -1.9946190e-02 -1.7135830e-02 -1.9165600e-02
    96 :  1.9546050e-03 -9.0894900e-03 -2.7191150e-03
    97 :  1.3130170e-02  2.2105400e-02  1.7237130e-02
    98 : -3.7981250e-03  4.3882710e-03 -2.6713110e-03
    99 :  1.5235330e-10  1.1896840e-10 -1.0901880e-10
   100 :  4.1488180e-34 -2.5435260e-34 -1.6012820e-34
   101 : -6.6057460e-03 -2.8010780e-03 -7.0173000e-03
   102 : -3.9795560e-17  3.4618220e-17 -1.0554390e-16
   103 : -7.0192940e-07 -7.3833890e-08  4.0880020e-07
   104 :  2.8790180e-03  1.7563990e-03 -1.7981210e-03
   105 :  1.1566730e-22  2.3065110e-22 -7.5998880e-22
   106 :  2.6189310e-55  1.6197300e-56 -1.8197420e-55
   107 :  2.1592890e-02  1.7313290e-02  2.1743160e-02
   108 :  2.7960040e-65 -6.0733100e-65  1.0556530e-64
   109 :  7.4700240e-05  8.4663580e-04  5.8906600e-04
   110 : -4.9063220e-35  1.6118630e-34 -5.2468690e-35
   111 : -3.5752190e-03 -2.5289130e-03 -2.7520840e-03
   112 : -1.8144560e-02 -1.8624120e-02 -2.1782400e-02
   113 :  7.2079080e-04 -9.2339990e-03 -8.7254440e-03
   114 :  5.8770010e-55 -1.4815230e-56 -3.1798520e-55
   115 : -1.0271330e-02 -4.2643340e-03 -4.0368620e-05
   116 :  2.5820940e-02 -6.6242940e-03 -1.5192250e-02
   117 : -2.8213410e-52  4.0981510e-52 -9.3759180e-53
   118 : -7.1731450e-60  1.2363140e-59 -2.4283170e-60
   119 : -1.3813150e-15 -1.9464520e-15  5.9189040e-15
   120 :  3.8580290e-06  5.4189250e-06  5.2305030e-06
   121 : -3.2842140e-57  1.4489410e-57 -8.3819960e-57
   122 : -9.4842830e-03 -1.1346190e-02 -8.2140050e-03
   123 : -2.7784990e-63  2.7893480e-63  2.9420700e-63
   124 :  3.8557490e-52 -2.1995120e-52  7.4728190e-52
   125 :  4.1270090e-02  4.1073650e-02  3.9676400e-02
   126 : -1.8983120e-02 -2.0958110e-02 -2.0386430e-02
   127 :  1.5446080e-04  1.4298170e-04  8.0873960e-05
   128 : -1.1977630e-02  4.0836700e-03 -8.3934280e-03
   129 : -3.2785870e-03  1.1008750e-02  5.5589460e-03
   130 :  2.8893520e-40 -1.0234930e-40 -1.4565550e-40
   131 : -1.0273290e-69  5.8413840e-70 -2.4989280e-70
   132 :  1.3533120e-19  3.4597590e-19 -8.2172640e-19
   133 : -1.9101760e-02 -2.2515520e-02 -2.0437490e-02
   134 :  3.7491250e-19 -3.4995300e-19 -4.5795790e-19
   135 : -3.0096110e-02 -2.7937930e-02 -4.1076150e-02
   136 : -1.2501950e-02 -1.7959750e-02 -2.9976330e-02
   137 :  1.4668220e-03  2.2898010e-03  1.9981780e-03
   138 :  1.6911180e-02  1.6767310e-02  1.4691650e-02
   139 : -8.7025850e-42 -3.9459190e-42  3.9903880e-42
   140 :  2.1956180e-04 -2.1647280e-04 -1.5449740e-04
   141 : -1.4952560e-02 -1.2525670e-02 -1.0261900e-02
   142 :  1.7201000e-64 -2.1278430e-64  3.4321140e-65
   143 : -1.0308000e-02 -1.2262460e-02 -1.0666510e-02
   144 : -2.0078080e-59 -4.1762860e-58  1.0142200e-57
   145 : -4.1209080e-02 -2.2561090e-02 -2.4602050e-02
   146 :  1.6464110e-03  5.5366320e-03  1.8649940e-02
   147 :  1.4648720e-70  1.0832680e-69 -1.5021390e-69
   148 : -4.0204630e-25  1.1345180e-24 -2.3665910e-25
   149 :  8.1920120e-33 -1.5002920e-31  6.0300570e-32
   150 :  5.2945290e-07  4.1145920e-07 -1.2351130e-07
   151 :  9.9124490e-05 -2.4336540e-05 -1.4295130e-05
   152 :  3.8978530e-03  4.8959500e-04  1.5232520e-04
   153 : -3.4281050e-25  3.5676230e-25 -3.3523490e-24
   154 :  9.1886740e-21  1.6445760e-20 -3.2899010e-20
   155 :  6.3857840e-04 -2.0208230e-03 -2.8302390e-03
   156 : -2.4598470e-02 -2.7139770e-02 -2.6926040e-02
   157 : -5.0076430e-03 -4.2136550e-03 -3.0803810e-03
   158 : -3.4624160e-02  3.2300680e-02 -1.1917800e-01
   159 : -3.5306450e-37 -3.4192680e-37  2.8140050e-37
   160 :  6.1604560e-04  1.3095920e-03  1.4246790e-03
   161 : -1.5420000e-02 -1.0510580e-02 -8.8884510e-03
   162 : -7.9300820e-03 -7.3899060e-03  3.1151010e-02
   163 : -1.4878870e-47 -7.2459160e-48  5.1985700e-48
   164 : -1.7071900e-04 -2.2922250e-05 -1.2313410e-04
   165 : -8.6360250e-18 -4.9534190e-17  1.9543750e-17
   166 :  1.9017370e-02  1.9969530e-03  7.1913330e-03
   167 :  1.6096780e-02  1.5998060e-02  2.3475630e-02
   168 : -3.8908670e-02 -4.4284660e-02 -3.9967280e-02
   169 :  1.8160050e-57 -3.7256400e-57 -1.4752220e-56
   170 : -2.3861640e-07 -1.3464520e-07  8.1235690e-08
   171 : -6.9562520e-03 -2.5373000e-02 -9.6023830e-03
   172 : -6.1972920e-03 -7.2076740e-03 -7.6374700e-03
   173 :  8.0414980e-05  3.0741230e-04  3.4119080e-04
   174 : -5.0434100e-02 -2.4536330e-02 -3.2173080e-02
   175 :  9.1376900e-13 -3.0135210e-13 -3.9529360e-13
   176 :  1.1493640e-46 -2.5114700e-46  2.6411180e-47
   177 :  1.2437640e-03  5.9759090e-03 -3.8229530e-03
   178 :  4.2758220e-02 -2.3216440e-03  5.0251010e-02
   179 :  2.8305540e-05 -1.2731450e-06 -6.3576410e-06
   180 :  1.2961280e-02  1.3162480e-02  1.4709850e-02
   181 :  9.8275770e-16 -2.3468020e-16  7.3726220e-16
   182 :  2.0102690e-03  2.3428040e-03  2.4914210e-03
   183 :  8.4791300e-04  2.6555050e-05  8.6717860e-04
   184 : -6.9780300e-07  3.7926380e-06 -1.1251160e-06
   185 :  4.7771870e-02  4.6279830e-02  4.4128190e-02
   186 :  5.0422500e-34 -3.0382660e-34  7.5752880e-34
   187 : -1.9597000e-02 -1.4216230e-02 -1.9336600e-02
   188 : -9.1142820e-46  1.1307780e-45 -2.0360520e-46
   189 : -6.1560690e-03 -7.4121970e-03 -5.2376760e-03
   190 : -2.3237160e-48  1.5921160e-48 -1.8656950e-48
   191 : -1.3072680e-52 -6.6877970e-52  2.3399300e-52
   192 :  4.4094730e-10 -6.2467190e-10  2.5415680e-10
   193 : -2.4313960e-02 -2.3991780e-02 -2.4069390e-02
   194 :  4.6313260e-46 -1.1318130e-46 -2.9825750e-47
   195 :  1.3434110e-39 -3.6818680e-39  7.7127920e-39
   196 : -2.9062390e-08 -2.3331810e-08  4.2262450e-10
   197 :  2.1699630e-03 -8.4640940e-04  5.0235620e-04
   198 :  4.9909030e-20 -6.0864440e-22 -1.1855700e-20
   199 :  9.8383400e-03  1.4454830e-02  8.0318930e-02
   200 :  4.9188990e-03  4.0160810e-03  1.7847560e-03
   201 :  1.6355610e-02  1.4202450e-02  1.4232260e-02
   202 :  7.5972210e-03  7.5858180e-03  1.0314720e-02
   203 :  4.5535060e-06 -1.3140050e-05 -2.3236680e-05
   204 : -3.4291270e-02 -7.0747620e-03  3.5264510e-02
   205 : -6.0091600e-03 -9.4787530e-03 -9.2023830e-03
   206 :  2.7228280e-02  1.9864980e-02  1.8375120e-03
   207 :  1.2865740e-07  3.8087610e-07 -1.4829490e-07
   208 : -1.0312110e-29  1.3266110e-30  2.6487710e-29
   209 : -1.0142940e-02 -6.1790630e-03 -6.8475380e-03
   210 :  1.4824210e-13 -9.6328750e-14  1.1126100e-13
   211 : -3.2977810e-02 -4.1167970e-02 -3.9128290e-02
   212 :  3.1562850e-67  2.5821250e-67 -5.6210650e-67
   213 : -3.3303050e-62  4.6812280e-62  2.0719190e-62
   214 :  1.0622230e-06 -1.2800010e-06  1.7191690e-06
   215 : -1.2315590e-17 -5.2607550e-18  6.6530040e-18
   216 :  2.1060430e-05 -5.7183390e-07  1.4545260e-05
   217 :  4.8718070e-02  4.2394390e-02  1.2153960e-02
   218 :  4.8097410e-41  3.0920030e-40 -4.1911070e-42
   219 : -9.0628300e-03 -1.0490000e-02 -1.4874530e-02
   220 : -3.5355330e-48  1.1652590e-48  2.2682260e-48
   221 : -4.8212000e-09 -3.2023850e-09  1.4059060e-08
   222 :  7.6279560e-03  5.2600380e-03  6.6680120e-03
   223 : -3.7951390e-40  1.1083180e-39 -1.9645800e-39
   224 : -2.9703360e-02 -2.9252190e-02 -2.9769360e-02
   225 :  5.3482120e-04  1.0979940e-03  1.9374690e-03
   226 :  1.6245960e-04  8.0566820e-05  8.5923560e-05
   227 : -1.5839250e-02 -1.5849610e-02 -1.5393470e-02
   228 : -4.4526610e-74 -2.3488380e-74  1.4189530e-73
   229 : -1.5604800e-02 -1.5815970e-02 -6.6987710e-03
   230 :  5.3251370e-32  2.1073370e-32 -3.6722960e-32
   231 :  1.7465050e-20  1.8061850e-19 -8.4859460e-20
   232 : -7.0053170e-39 -6.6016940e-39  6.6891140e-39
   233 :  2.0982170e-04  8.6450640e-07  2.2073780e-05
   234 : -2.8927560e-03 -8.0287560e-03 -6.6289110e-03
   235 : -4.5946290e-64 -2.9887870e-62  1.1659970e-62
   236 :  1.9703110e-02  2.0049480e-02  1.8269300e-02
   237 :  3.8266280e-02  4.6235280e-02  4.9433590e-02
   238 : -1.1847840e-02 -1.1128430e-02 -1.1370470e-02
   239 :  4.1233430e-02  5.2670830e-02  5.1459210e-02
   240 : -1.5451200e-02 -1.4101700e-02 -1.9327830e-02
