Number of elements 23380
     0 :  5.3953889e-03 -2.4065946e-03  1.0352840e-02
     1 : -4.7991806e-03 -8.9048997e-04 -9.5589430e-03
     2 :  1.2177782e-50  7.2099888e-50 -3.0294004e-50
     3 : -3.3237828e-25 -3.0831699e-25  1.6178057e-26
     4 :  2.0257357e-50  4.8406551e-50  8.7634218e-50
     5 : -5.1838742e-25  5.8227364e-25 -1.9270371e-26
     6 :  9.9258449e-03  5.2834919e-03  1.0271922e-02
     7 :  2.1512575e-02  1.6755674e-02  2.4165092e-02
     8 :  5.8058823e-03  8.9333291e-03 -1.1773920e-03
     9 : -6.7160430e-04 -4.0859900e-03 -4.5171008e-03
    10 : -3.4879557e-03 -4.5631033e-03 -1.0633841e-02
    11 : -7.2122612e-03 -1.0073697e-02 -6.8548323e-03
    12 :  1.0611561e-02  1.0862962e-02  1.1963151e-02
    13 :  6.0017510e-03 -3.6339968e-03  4.9766857e-03
    14 : -1.1737332e-02 -7.3490576e-03 -1.4863894e-02
    15 :  5.1243872e-02  3.9922800e-02  3.4690749e-02
    16 : -1.4977524e-02 -1.3075445e-02 -1.4197952e-02
    17 :  5.2024939e-02  3.8506098e-02  3.1275666e-02
    18 : -3.2151146e-12 -1.5113739e-11 -3.9469190e-12
    19 :  1.2306452e-02  1.0951238e-02 -1.6194248e-03
    20 : -2.7210677e-03 -5.4205777e-03 -3.1564739e-03
    21 :  3.5389461e-03  1.0261344e-02  5.3781058e-03
    22 : -9.0292123e-44  9.7117199e-44 -2.4575719e-43
    23 :  3.5643370e-03  1.0718568e-02  3.9543104e-03
    24 : -8.4561565e-32  1.7239841e-32 -1.2291050e-31
    25 :  1.5228139e-02  1.6244651e-02  1.1496742e-02
    26 :  1.3809603e-02  1.6523125e-02  1.6964776e-02
    27 :  3.8836336e-02 -5.4487256e-03 -1.5641826e-02
    28 :  2.9467703e-02  7.6202180e-03  1.4447770e-02
    29 : -1.8218474e-02 -1.7185742e-02 -1.8983303e-02
    30 :  1.4964055e-03  1.2366294e-03 -1.2204534e-04
    31 : -3.5684803e-27  1.1716710e-26  7.6174869e-27
    32 :  4.6034797e-03 -2.6207432e-04  2.3837149e-03
    33 :  6.0535981e-03  8.4040951e-03  4.6715530e-03
    34 : -1.2028995e-02 -1.4917594e-02 -3.5521396e-03
    35 :  8.1036525e-03  1.1117128e-02  1.2896623e-02
    36 : -3.8061517e-03 -8.5783895e-03 -7.3334964e-03
    37 :  1.7622646e-02  1.3890781e-02  1.9787477e-02
    38 :  1.0108319e-03 -1.9353341e-03 -1.5930151e-03
    39 : -4.7552874e-03 -4.4907083e-03 -4.5700497e-03
    40 :  9.0119355e-41 -2.1590343e-40 -3.3598109e-40
    41 :  8.9652827e-03 -3.2947389e-04  6.9960696e-03
    42 : -1.9372375e-04  8.4390542e-04  9.6356572e-04
    43 :  4.0232373e-03  4.8030235e-03  5.2665803e-03
    44 :  1.5612927e-02  1.7498176e-02  2.4405836e-02
    45 :  2.6429931e-02  1.4513971e-02  2.5584849e-02
    46 :  9.3277364e-03  8.4160290e-03  7.9265132e-03
    47 : -5.0997046e-04  1.7456379e-03 -1.7061846e-03
    48 : -1.4464642e-02 -8.3187940e-03 -6.9399668e-03
    49 :  3.8192164e-03 -1.1562432e-03  2.3947031e-03
    50 : -3.7539990e-02 -2.5393377e-02 -3.5098014e-02
    51 :  4.5237108e-05  2.8518796e-03  7.5683696e-03
    52 :  1.0063908e-02  1.6215775e-02  2.6178947e-02
    53 :  3.5948997e-30 -6.2773090e-29  1.0001261e-28
    54 :  4.5263389e-02  4.5972008e-03  5.3864473e-02
    55 : -7.6154666e-03 -8.7466445e-03 -8.9933120e-03
    56 :  2.0737295e-02 -3.1205444e-04  1.9415625e-02
    57 : -2.3102600e-02 -2.2114498e-02 -1.8364389e-02
    58 :  1.6641467e-03  1.1389140e-03  2.3229560e-03
    59 :  8.7276708e-03  8.9623672e-03  8.3746853e-03
    60 :  1.2921553e-03 -2.1577417e-02 -8.8543555e-03
    61 :  2.9367463e-02  1.4303844e-02  2.5863385e-02
    62 :  6.4746950e-03  6.6861425e-03  3.1439771e-03
    63 :  9.3298473e-03  8.9827562e-03  6.8072854e-03
    64 :  3.3254557e-03 -9.1459811e-03 -7.5874555e-03
    65 : -2.8481312e-24  4.5376369e-24 -9.1993939e-25
    66 : -6.6669124e-03 -4.4500197e-03 -1.0968149e-03
    67 : -7.0700718e-03  5.6258214e-02  3.1834455e-02
    68 : -2.6173549e-02 -2.3721473e-02 -2.4245854e-02
    69 : -1.2692926e-02 -2.3770073e-03 -3.3557302e-02
    70 : -9.2964155e-03 -9.7019332e-03 -1.2899811e-02
    71 : -1.0128344e-02 -4.0547165e-03 -7.3917744e-03
    72 :  9.6151947e-10 -8.3898820e-08 -7.7431617e-08
    73 : -3.0433218e-08  1.4104584e-07  5.5190628e-08
    74 :  8.6878618e-04  8.2902756e-04  1.8017808e-03
    75 : -1.2743893e-02 -8.5320234e-03 -1.3957904e-02
    76 : -1.4619602e-02 -7.2829256e-03 -3.9470561e-03
