Number of elements 23380
     0 :  2.2236480e-13 -1.4137550e-13  4.6333700e-13
     1 :  1.1052610e-09  2.4227890e-09 -2.0162060e-12
     2 : -1.8418850e-86 -1.2656830e-84  1.0465150e-84
     3 :  1.4960060e-50 -1.8163600e-50  4.1409690e-50
     4 :  8.1811230e-85 -5.2216710e-84 -5.4703810e-84
     5 :  3.3096870e-50 -6.6737230e-50 -7.0389800e-50
     6 : -1.2588580e-06 -2.4258390e-06 -4.4229550e-07
     7 : -1.6436870e-14  1.6167690e-14  5.6353200e-15
     8 : -2.5699830e-13  3.9933310e-13  2.2371920e-14
     9 :  5.9600040e-16  1.8810170e-16 -1.2713220e-15
    10 : -3.8727030e-02 -2.5349940e-02 -1.5431670e-02
    11 :  3.4125360e-11  3.3559730e-11  6.3496810e-12
    12 : -5.7119240e-07 -1.8636380e-07  5.3900080e-07
    13 : -3.2030570e-08  6.7917570e-09  7.9925250e-09
    14 : -7.0715710e-03 -8.2881670e-03 -3.2075690e-03
    15 :  1.4076670e-13 -3.7452590e-13 -4.5469560e-13
    16 :  7.4313660e-04  6.9291600e-04  5.6065850e-04
    17 :  6.5861090e-14 -1.7650510e-13  7.9569940e-14
    18 : -7.0640430e-32  1.5839970e-30 -3.0167970e-31
    19 : -3.1035960e-13  6.7888740e-13 -5.5551040e-13
    20 :  2.2409900e-03  3.8219630e-03  2.4431710e-03
    21 : -6.4015000e-07 -1.1175620e-06 -1.5814990e-06
    22 : -1.7226020e-75 -6.2787900e-75  1.9015030e-74
    23 :  8.7449860e-02  8.7799680e-02  7.2033380e-02
    24 :  7.8780240e-60  1.3733120e-59  9.3625160e-60
    25 :  5.1509770e-02  8.5597700e-02  9.5330890e-02
    26 :  2.4035880e-02  3.7269890e-02  3.5064490e-02
    27 :  6.6568820e-02  6.5770060e-02  8.4778240e-02
    28 :  3.0831830e-03 -9.5907410e-03 -2.5995590e-02
    29 : -2.8618360e-09 -3.2335100e-09 -2.9425320e-09
    30 :  2.7005050e-02  4.4148420e-02  3.9225760e-02
    31 :  2.2667220e-53 -6.1360530e-53 -1.4534790e-52
    32 : -2.5538960e-09  7.2928260e-09  4.9016530e-09
    33 :  3.8500930e-02  5.0785400e-02  3.6653160e-02
    34 : -1.9443670e-12 -1.1965200e-12 -3.3610360e-12
    35 :  9.0909450e-02  9.5129830e-02  9.6842050e-02
    36 :  2.8646120e-12 -4.7069180e-12 -3.3072640e-12
    37 : -4.4616530e-07  1.1397410e-07 -5.5849860e-07
    38 :  3.8028200e-03  3.8933630e-03  4.1249170e-03
    39 : -4.3853070e-03 -5.7028800e-03 -3.7236100e-03
    40 : -8.8594290e-72  3.2546800e-72  1.5851820e-71
    41 : -3.7055640e-02 -2.7035730e-02 -2.4080960e-02
    42 :  4.0838810e-19 -1.5945390e-18 -1.9579430e-19
    43 :  4.0849900e-03  1.0255770e-02  1.0765910e-02
    44 : -1.0961650e-02 -8.8654620e-03 -3.1689640e-03
    45 : -2.6828360e-02 -2.9023620e-02 -3.8900340e-02
    46 :  9.7965170e-09 -1.5546910e-08 -1.2420640e-08
    47 : -3.5389340e-11 -8.1484590e-12 -1.6434950e-11
    48 :  1.1837330e-06  2.6674520e-07  9.7023100e-07
    49 : -8.0412640e-02 -7.6081670e-02 -6.0632000e-02
    50 : -1.6326330e-03 -1.0296590e-02 -3.4546230e-03
    51 :  2.9271680e-13 -2.3680820e-12  1.7974360e-12
    52 : -5.3098150e-02 -2.7875040e-02 -2.9139680e-02
    53 : -3.4212980e-55  1.6240180e-55  2.7576630e-55
    54 : -4.1862090e-18  2.9250100e-19  3.0964610e-18
    55 : -5.2509730e-04  5.8338850e-04 -2.3599770e-04
    56 :  2.6939580e-18 -2.2930700e-18  4.6426120e-18
    57 :  9.3830890e-04  7.8391020e-04  8.5031250e-05
